rut,t1,r1,p1,s1,l1,t2,r2,p2,s2,l2,t3,r3,p3,s3,l3,t4,r4,p4,s4,l4,t5,r5,p5,s5,l5,t6,r6,p6,s6,l6,op1,op2,op3,op4,op5,op6,sv1,sv2,sv3,sv4,sv5,sv6,lt,tt,pt,game_score,score,score_a,score_p,score_d,score_s,programa,sol1,estado
179,26.500.862,1,1,[3 3 ] [1 1 2 2 2 ],7,167.471.077,3,10,[2 3 3 3 3 ] [1 1 1 1 2 ],10,348.720.231,8,19,[3 0 0 0 0 0 2 0 0 3 1 ] [2 3 0 0 0 0 2 2 2 2 0 ],22,106.178.032,3,3,[2 2 0 0 2 2 ] [3 3 3 3 ],10,1.390.863.637,6,8,[1 2 2 2 3 2 2 2 ] [3 3 ],10,966.657.313,1,2,[2 2 0 0 2 2 ] [2 3 1 1 1 1 ],12,1,1,0,1,0,0,1,1,0,1,1,1,71,884.622.297,43,1.874.461.038,8,5,3,3,2,INGENIERIA EN COMPUTACION E INFORMATICA,5.9,A
195,626.875.896,1,1,[3 3 3 ] [2 1 1 2 ],7,1.405.363.876,9,8,[2 3 3 3 3 3 ] [1 1 1 1 ],10,1.281.909.304,1,5,[0 3 0 0 0 0 2 3 1 3 3 3 ] [3 0 0 2 ],16,1.374.396.903,1,6,[2 2 1 0 2 ] [1 1 3 3 3 3 3 ],12,1.217.055.107,2,2,[1 2 2 1 1 ] [1 1 3 3 3 3 3 ],12,1.132.959.697,1,3,[2 2 0 0 0 0 2 ] [1 1 3 ],10,1,1,1,0,0,1,1,1,1,1,1,1,67,7.038.560.783,25,1.526.019.867,6,4,2,3,2,INGENIERIA CIVIL INDUSTRIAL,6.7,A
218,4.895.157.267,2,8,[3 3 3 0 0 3 3 ] [],7,1.148.441.373,4,36,[2 3 3 3 3 3 0 ] [1 1 1 ],10,218.702.312,5,57,[0 3 0 0 0 0 2 3 1 3 ] [3 0 0 2 2 2 ],16,80.660.985,3,13,[2 2 0 0 2 2 ] [3 3 3 3 ],10,1.052.618.607,4,17,[1 2 2 2 2 2 ] [3 3 ],8,40.689.853,2,10,[2 2 0 0 2 2 0 ] [1 1 1 ],10,1,1,1,1,1,1,1,1,1,1,1,1,61,6.091.107.207,141,2.049.771.962,7,5,2,2,3,INGENIERIA EN COMPUTACION E INFORMATICA,5,A
316,444.682.093,1,16,[3 1 3 3 3 0 3 0 0 ] [],9,507.365.574,2,14,[2 3 3 3 3 3 ] [1 1 1 1 ],10,88.267.233,1,20,[3 0 0 0 0 0 2 0 0 1 0 3 1 1 3 3 ] [3 0 0 2 2 ],21,400.993.656,1,4,[2 2 2 2 2 2 2 0 0 2 ] [],10,373.482.637,1,4,[1 1 1 3 2 2 2 2 2 2 2 0 0 ] [],13,613.902.003,2,7,[2 2 0 0 2 2 0 0 0 0 ] [],10,0,1,0,1,0,1,1,1,0,1,1,1,73,3.223.098.293,65,1.498.582.485,7,4,3,2,3,INGENIERIA EN COMPUTACION E INFORMATICA,6.9,A
330,2.581.874.334,1,2,[0 3 3 3 ] [2 2 1 ],7,3.928.607.833,2,5,[2 3 3 3 3 ] [1 1 1 1 2 ],10,714.399.777,1,8,[3 0 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ],16,26.701.973,1,4,[2 2 0 0 2 2 ] [3 3 3 3 ],10,23.118.107,1,3,[1 2 2 ] [3 3 3 3 3 ],8,33.236.005,1,4,[2 2 0 0 2 2 ] [1 1 1 1 ],10,1,1,1,1,1,1,1,1,1,1,1,1,61,2.196.008.844,26,9.693.081.204,5,3,2,2,1,INGENIERIA CIVIL INDUSTRIAL,5.8,A
353,276.037.733,1,10,[3 1 3 3 0 ] [2 2 1 1 ],9,705.768.846,1,5,[2 3 3 3 3 3 ] [1 1 1 1 ],10,1.694.144.937,1,11,[3 0 0 0 0 0 2 3 1 3 3 3 ] [0 3 0 2 0 2 ],18,63.274.122,1,4,[2 2 0 0 2 2 2 2 2 ] [3 ],10,106.907.017,1,5,[1 2 2 1 1 ] [1 1 3 3 3 3 3 ],12,53.437.245,1,5,[2 2 0 0 2 2 0 ] [1 1 1 ],10,0,1,0,1,0,1,1,1,0,1,1,1,69,7.396.474.953,40,1.684.331.613,6,3,3,2,3,INGENIERIA CIVIL INDUSTRIAL,7,A
369,2.224.269.527,12,130,[2 3 3 0 0 3 ] [2 2 2 ],9,4.999.806,1,10,[2 3 3 3 3 3 ] [1 1 1 1 ],10,159.071.594,2,27,[0 3 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ],16,44.618.697,1,5,[2 2 2 2 0 0 ] [3 3 3 3 ],10,65.304.009,1,3,[1 2 2 ] [1 1 3 3 3 3 3 0 0 ],12,929.178.446,1,7,[2 2 3 3 0 0 2 ] [1 1 1 1 3 3 3 ],14,0,1,1,1,0,0,1,1,1,1,1,1,71,6.343.371.573,182,2.484.673.692,6,3,3,1,2,INGENIERIA CIVIL INDUSTRIAL,6.3,A
451,368.407.706,7,41,[3 3 3 0 0 3 3 ] [],7,316.248.534,1,4,[2 3 3 3 3 ] [1 1 1 1 2 ],10,109.115.839,2,17,[3 0 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ],16,386.285.033,1,2,[2 2 2 2 2 2 2 ] [3 1 1 ],10,47.938.837,1,4,[1 2 2 1 1 ] [1 1 3 3 3 3 3 ],12,77.925.654,2,7,[0 0 0 0 ] [3 3 1 1 3 3 ],10,1,1,1,1,0,1,1,1,1,1,1,1,65,6.736.413.927,75,1.771.366.176,7,4,3,2,3,INGENIERIA CIVIL INDUSTRIAL,6.9,A
2,8.559.673.437,1,8,[3 0 3 ] [2 1 2 2 ],7,2.170.711.803,7,16,[2 3 3 3 3 ] [1 1 1 1 2 ],10,15.040.652,1,11,[0 3 0 0 0 0 2 2 3 1 3 3 ] [3 0 0 2 2 ],17,967.101.003,1,5,[2 2 0 0 0 ] [3 1 1 3 3 3 0 0 3 3 ],15,59.137.248,1,2,[1 2 2 1 1 ] [1 1 3 3 3 3 3 ],12,102.937.465,2,7,[2 2 0 0 0 0 2 2 ] [1 1 ],10,1,1,0,0,0,1,1,1,0,0,1,1,71,711.859.248,49,1.744.534.334,8,5,4,3,2,INGENIERIA CIVIL INDUSTRIAL,5.6,A
90,6.303.929.867,4,7,[3 3 3 ] [2 2 1 1 ],7,1.264.886,3,7,[2 3 3 3 3 3 ] [2 1 1 1 1 1 0 ],13,24.444.514,3,20,[0 3 0 0 3 0 0 2 2 2 2 2 3 3 1 3 ] [3 0 0 2 2 3 3 1 3 0 2 2 ],28,4.949.366,1,2,[2 2 2 2 0 0 2 2 2 2 ] [],10,445.821,1,2,[1 2 2 2 2 2 ] [3 3 ],8,7.984.202,2,5,[0 0 0 0 2 2 2 2 ] [1 1 ],10,1,0,0,1,1,1,1,1,0,1,1,1,76,1.175.244.507,43,2.234.538.878,6,2,3,2,3,INGENIERIA CIVIL INDUSTRIAL,7,A
352,18.441.132,3,11,[3 3 3 0 0 3 3 ] [],7,681.981.733,2,3,[2 3 3 3 3 3 ] [1 1 1 1 ],10,2.555.587.467,5,13,[3 0 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ],16,1.738.784.933,6,18,[2 2 2 2 0 0 ] [3 3 3 3 ],10,775.137.334,2,5,[1 2 2 ] [3 3 3 3 3 ],8,3.293.254,1,5,[2 2 0 0 ] [1 1 1 1 3 3 ],10,1,1,1,1,1,1,1,1,1,1,1,1,61,7.924.930.067,55,169.975.717,7,5,3,2,3,INGENIERIA CIVIL INFORMATICA,6.6,A
372,17.936.272,3,12,[3 ] [2 2 2 2 1 1 ],7,60.637.582,1,4,[2 3 3 3 3 3 ] [1 1 1 1 ],10,1.219.582.303,1,5,[3 0 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ],16,835.227.563,1,2,[2 2 0 0 2 2 ] [3 3 3 3 ],10,5.053.683,1,2,[1 2 2 ] [3 3 3 3 3 ],8,73.271.572,1,3,[2 2 0 0 1 1 0 ] [1 1 1 1 3 3 1 ],14,1,1,1,1,1,0,1,1,1,1,1,1,65,5.692.896.906,28,1.382.697.083,8,6,3,4,3,INGENIERIA CIVIL INDUSTRIAL,6.9,A
422,26.183.093,4,90,[3 3 3 1 3 3 0 0 ] [2 2 2 2 3 3 3 3 1 ],17,435.030.266,1,6,[2 3 3 3 3 3 ] [1 1 1 1 ],10,601.743.454,1,4,[3 0 0 0 0 0 2 3 1 ] [3 0 0 2 2 2 2 ],16,3.845.303,1,2,[2 2 0 0 2 2 ] [3 3 3 3 ],10,68.418.438,1,3,[1 2 2 1 1 2 2 2 2 2 ] [1 1 0 1 ],14,1.019.138.136,4,8,[2 2 3 3 0 0 2 2 2 2 0 ] [1 1 1 ],14,0,1,1,1,0,0,1,1,1,1,1,1,81,5.742.935.836,113,2.163.294.689,6,3,3,2,2,INGENIERIA CIVIL INDUSTRIAL,5,A
26,1.270.773.354,5,6,[3 3 3 0 0 ] [2 2 ],7,174.152.848,2,6,[2 3 ] [1 1 1 1 2 2 2 2 ],10,26.732.088,3,8,[3 3 3 3 3 3 3 3 0 0 0 0 0 0 ] [3 0 0 2 0 0 3 3 3 3 ],24,41.864.647,1,1,[2 2 2 2 ] [1 1 3 3 3 3 ],10,90.512.087,2,2,[1 1 1 2 2 2 2 ] [1 1 3 3 3 ],12,40.681.259,1,1,[0 0 0 0 ] [3 3 1 1 3 3 ],10,1,1,0,1,0,1,1,1,0,1,1,1,73,7.416.090.564,24,1.651.923.078,7,5,3,3,2,INGENIERIA EN COMPUTACION E INFORMATICA,5.6,A
29,764.474.687,2,16,[1 3 3 3 0 3 3 0 0 ] [],9,413.060.733,1,12,[2 3 3 3 3 3 0 0 0 0 ] [],10,71.464.376,1,25,[3 ] [3 0 0 2 2 0 0 3 3 3 3 1 1 1 1 1 1 2 2 2 2 2 2 2 ],25,46.454.698,1,19,[2 2 2 3 3 3 2 2 2 3 0 0 2 2 2 2 2 2 ] [],18,18.911.744,1,12,[1 1 1 2 2 2 2 2 2 0 2 0 0 ] [],13,260.434.204,1,9,[0 2 0 0 0 2 2 2 2 0 0 ] [],11,0,1,0,0,0,0,1,1,0,0,1,1,86,2.806.277.804,93,1.837.074.224,3,2,0,2,1,INGENIERIA CIVIL INDUSTRIAL,5.5,A
149,672.641.333,1,9,[3 3 3 0 0 ] [2 2 ],7,758.183.533,1,10,[2 3 3 3 3 3 ] [1 1 1 1 ],10,1.268.489.933,1,15,[3 0 0 0 0 0 2 0 1 3 0 ] [3 0 0 2 2 2 2 0 ],19,560.594.467,1,3,[2 2 2 2 2 2 2 ] [3 1 1 ],10,21.482.552,5,13,[1 2 2 2 2 2 ] [0 1 3 3 ],10,380.661.067,1,5,[2 2 0 0 2 2 0 ] [1 1 1 ],10,1,1,0,1,0,1,1,1,0,1,1,1,66,5.788.825.533,55,1.573.325.139,8,6,3,3,3,INGENIERIA CIVIL INDUSTRIAL,4.8,A
233,1.238.584.866,1,15,[3 3 3 3 3 ] [2 2 2 1 3 3 1 ],12,1.004.999.017,1,9,[2 2 3 3 3 3 3 3 2 3 0 ] [2 1 1 1 ],15,6.434.624.643,4,90,[3 3 2 3 3 2 2 2 3 0 0 0 0 0 2 3 1 1 1 1 1 3 ] [3 3 3 0 0 2 0 0 3 3 3 3 0 1 1 0 0 1 1 1 0 0 0 0 1 1 1 1 1 1 2 2 2 2 2 0 2 ],59,938.243.313,1,9,[2 2 ] [3 3 1 1 3 3 3 0 0 3 3 1 1 ],15,60.407.054,1,7,[] [1 1 3 3 3 3 3 0 0 3 3 0 ],12,160.924.077,1,7,[2 2 3 3 ] [1 1 3 3 3 3 2 2 2 2 2 2 2 1 1 3 3 3 3 3 3 3 3 1 1 ],29,0,0,0,0,0,0,1,1,0,0,1,0,142,1.182.976.315,137,3.869.618.936,5,2,2,2,2,INGENIERIA CIVIL INDUSTRIAL,6,A
242,33.305.423,1,1,[3 3 3 ] [1 2 2 1 ],7,111.678.944,2,3,[2 3 3 3 3 3 0 ] [1 1 1 ],10,153.514.871,1,7,[3 0 0 0 0 0 0 2 3 ] [3 0 0 0 2 2 2 2 0 2 3 ],20,424.856,1,2,[2 2 0 0 2 2 ] [3 3 3 3 ],10,56.014.366,2,3,[1 2 2 ] [3 3 3 3 3 ],8,40.919.488,1,3,[3 2 2 0 0 ] [1 1 1 1 3 3 ],11,1,1,0,1,1,0,1,1,0,1,1,1,66,437.918.692,19,1.216.731.512,7,4,3,3,3,INGENIERIA CIVIL INFORMATICA,5.8,A
34,5.537.630.667,1,1,[3 3 3 ] [2 2 1 1 ],7,32.324.244,6,16,[2 3 3 3 3 3 ] [1 1 1 1 ],10,28.949.238,2,3,[0 3 0 0 0 0 2 3 ] [2 3 0 0 0 2 2 2 2 0 ],18,660.659.866,1,2,[2 2 0 0 2 2 ] [3 3 3 3 ],10,446.612.934,1,2,[1 2 2 2 ] [3 3 3 3 ],8,576.599.666,1,2,[2 2 0 0 2 ] [1 1 1 1 3 ],10,1,1,0,1,1,1,1,1,0,1,1,1,63,8.364.983.733,26,1.596.391.043,10,7,4,4,3,INGENIERIA CIVIL INFORMATICA,6.2,A
75,4.814.489.597,2,7,[3 3 3 0 3 3 0 ] [],7,39.781.938,3,16,[2 3 3 3 3 3 ] [1 1 1 1 ],10,1.966.773.697,6,73,[0 0 3 0 0 0 0 2 3 1 3 3 3 3 3 0 1 1 ] [0 1 3 ],21,49.810.749,2,18,[2 2 0 0 2 2 2 2 2 2 ] [],10,22.822.926,1,16,[1 2 2 1 1 2 2 2 2 2 0 1 0 0 0 ] [0 ],16,55.308.176,2,17,[2 2 3 3 0 0 2 2 0 0 2 ] [1 1 3 ],14,1,1,0,1,0,0,1,1,0,1,0,1,78,4.125.460.547,147,2.167.759.692,5,5,1,2,2,INGENIERIA CIVIL INDUSTRIAL,6,A
84,1.674.588,1,2,[3 3 3 ] [2 2 1 1 ],7,3.074.296,1,8,[2 3 3 3 3 3 0 0 ] [1 1 ],10,9.156.075.337,3,21,[0 3 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ],16,296.594.533,1,6,[2 2 0 0 2 2 ] [3 3 3 3 ],10,1.851.218,1,3,[1 2 2 2 2 2 ] [3 3 ],8,3.957.512,2,6,[2 2 0 0 ] [1 1 1 1 3 3 ],10,1,1,1,1,1,1,1,1,1,1,1,1,61,2.267.963.467,46,1.098.797.548,5,2,3,1,2,INGENIERIA CIVIL INFORMATICA,6.6,A
165,6.523.963.397,1,1,[3 3 3 0 ] [2 2 1 ],7,2.207.176.197,5,14,[2 3 3 3 3 3 ] [1 1 1 1 ],10,3.438.981.383,9,13,[3 0 0 0 0 0 2 2 2 3 1 3 3 ] [3 0 0 2 2 ],18,2.082.505.584,4,13,[2 2 0 0 2 2 ] [3 3 3 3 ],10,583.910.886,1,2,[1 2 2 2 ] [3 3 3 3 ],8,1.555.420.797,4,4,[0 0 0 0 2 ] [1 1 3 3 3 ],10,1,1,0,1,1,1,1,1,0,1,1,1,63,1.052.039.119,47,1.933.030.169,4,2,3,1,1,INGENIERIA CIVIL INDUSTRIAL,3.8,A
170,984.467.133,1,31,[] [2 2 2 2 2 1 1 ],7,285.511.733,1,11,[2 3 3 3 3 3 0 0 ] [1 1 ],10,1.342.988.734,2,39,[0 3 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ],16,4.232.764,1,2,[2 2 0 0 2 2 ] [3 3 3 3 ],10,306.162.666,1,3,[1 2 2 ] [3 3 3 3 3 ],8,4.356.228,1,3,[2 2 0 0 ] [1 1 1 1 3 3 ],10,1,1,1,1,1,1,1,1,1,1,1,1,61,3.778.029.466,89,1.507.972.337,7,3,4,2,3,INGENIERIA EN COMPUTACION E INFORMATICA,6.1,A
227,7.126.904.103,2,5,[3 0 3 3 0 3 3 ] [],7,74.697.743,2,15,[2 3 3 3 3 3 1 ] [1 1 1 1 1 1 0 ],14,1.072.280.906,2,12,[0 3 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ],16,326.655.724,1,2,[2 2 0 0 2 2 ] [3 3 3 3 ],10,445.241.833,1,3,[1 2 2 2 ] [3 3 3 3 ],8,442.231.593,2,5,[2 2 0 0 ] [1 1 1 1 3 3 ],10,1,0,1,1,1,1,1,1,1,1,1,1,65,3.746.077.896,42,128.064.068,7,4,4,1,2,INGENIERIA EN COMPUTACION E INFORMATICA,4.8,A
245,1.957.116.534,1,32,[3 3 3 0 3 3 0 1 2 1 0 1 3 0 ] [2 0 2 1 0 3 3 1 0 2 1 3 ],26,5.475.572,1,9,[2 3 3 3 3 3 0 0 0 3 0 3 3 0 0 0 0 ] [3 3 ],19,7.301.286,1,8,[3 0 0 0 0 0 0 2 3 1 3 3 3 3 1 1 ] [3 ],17,479.975.333,1,8,[2 2 2 0 0 0 2 0 0 2 2 2 ] [3 ],13,10.558.674,3,16,[1 2 2 2 2 2 2 2 2 2 2 ] [2 ],12,7.751.294,1,7,[2 2 0 0 0 1 2 2 0 0 0 0 2 2 2 ] [2 2 2 ],18,0,0,0,0,0,0,0,0,0,1,1,0,105,5.545.774.467,80,2.324.487.272,10,6,4,4,3,INGENIERIA CIVIL INFORMATICA,6.4,A
293,4.587.842.767,1,1,[3 3 3 0 ] [2 2 1 ],7,1.160.143.457,2,4,[2 3 3 3 3 ] [1 1 1 1 2 ],10,1.660.187.487,1,4,[3 0 0 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ],17,1.020.760.483,2,5,[2 2 2 2 0 0 ] [3 3 3 3 ],10,78.576.187,1,1,[1 2 2 1 1 ] [1 1 3 3 3 3 3 ],12,865.608.374,2,5,[2 2 0 0 2 ] [1 1 1 1 3 ],10,1,1,0,1,0,1,1,1,0,1,1,1,66,5.951.245.947,20,1.374.539.278,8,5,3,3,3,INGENIERIA CIVIL INDUSTRIAL,6.5,A
348,2.427.244.317,3,33,[3 3 3 1 3 3 0 0 0 2 1 3 1 2 2 3 3 3 2 ] [2 1 1 ],22,1.034.560.197,3,32,[2 3 3 3 3 3 3 3 3 0 0 0 2 2 3 2 ] [1 1 ],18,2.018.315.546,5,85,[1 0 3 2 ] [1 0 3 2 3 0 2 0 2 0 0 3 3 3 3 3 1 1 1 1 1 1 2 2 2 2 2 2 2 2 0 ],35,185.724.104,1,9,[2 2 2 2 2 2 2 0 0 2 ] [],10,496.706.266,2,17,[] [1 1 3 3 3 3 3 3 2 2 3 0 0 3 3 2 0 3 0 ],19,326.641.384,1,10,[2 2 0 0 0 0 2 2 2 2 0 0 ] [2 2 0 ],15,0,0,0,1,0,0,0,0,0,1,0,0,119,6.489.191.814,186,3.288.088.712,5,3,2,3,2,INGENIERIA EN COMPUTACION E INFORMATICA,4.7,A
413,671.665.103,1,4,[0 0 3 3 3 1 1 3 ] [1 1 2 ],11,1.572.726.764,2,10,[2 3 3 3 3 3 0 ] [1 1 1 ],10,5.987.238.243,3,21,[0 3 0 0 3 2 0 0 2 3 1 3 3 3 ] [2 3 0 2 0 2 0 1 ],22,231.578.472,3,24,[1 2 2 0 0 2 2 1 1 ] [1 1 3 3 3 3 0 1 ],17,55.839.033,1,2,[1 2 2 2 2 2 2 2 ] [],8,126.072.548,1,9,[2 2 2 0 0 3 0 2 0 0 2 1 2 2 0 0 0 0 ] [],18,0,1,0,0,1,0,1,1,0,0,1,0,86,1.236.653.064,70,2.618.568.187,7,4,3,2,1,INGENIERIA CIVIL INDUSTRIAL,6.9,A
46,14.029.136,1,2,[2 0 0 3 2 ] [2 2 2 2 2 2 ],11,18.946.064,6,4,[2 3 3 3 3 3 ] [1 1 1 1 ],10,305.076,8,20,[3 0 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ],16,3.541.904,1,3,[2 2 2 2 0 0 ] [3 3 3 3 ],10,246.818,1,2,[1 2 2 ] [3 3 3 3 3 ],8,3.880.688,1,3,[2 2 0 0 ] [1 1 1 1 3 3 ],10,0,1,1,1,1,1,1,1,1,1,1,1,65,73.373.572,34,1.578.127.218,8,6,4,1,1,INGENIERIA EN COMPUTACION E INFORMATICA,6.4,A
57,1.131.233.379,1,11,[3 3 3 3 0 ] [2 2 1 3 ],9,723.449.004,1,13,[2 3 3 3 3 3 3 ] [1 1 1 1 3 ],12,366.670.905,4,26,[3 0 0 0 0 0 2 3 2 3 1 3 3 3 3 1 0 1 1 ] [3 2 3 ],22,641.890.745,1,4,[3 3 2 2 2 2 2 2 2 0 0 ] [3 ],12,847.476.235,1,5,[1 1 1 2 2 2 2 2 2 2 0 ] [2 1 3 ],14,818.649.124,1,3,[0 0 0 0 2 2 2 2 0 0 ] [2 3 ],12,0,0,0,0,0,0,1,1,0,1,1,1,81,7.829.407.537,62,2.052.113.795,7,4,4,2,2,INGENIERIA CIVIL INDUSTRIAL,6.2,A
69,970.137.923,1,5,[0 3 3 3 1 ] [1 2 1 2 ],9,14.867.001,2,9,[2 3 0 3 3 3 3 0 ] [1 1 2 2 3 3 1 ],15,1.080.815.802,6,66,[0 3 3 2 1 0 0 0 0 0 2 2 3 1 1 1 1 1 3 3 3 3 3 3 2 2 ] [3 0 0 2 0 0 3 3 3 3 3 1 1 1 1 1 1 2 2 2 ],46,351.579.234,1,31,[2 2 2 2 0 0 3 3 1 1 1 1 2 2 2 0 0 2 2 ] [1 3 3 3 3 3 3 3 1 3 2 0 0 3 2 1 1 ],36,97.713.598,1,12,[1 2 2 1 1 2 2 2 2 2 0 1 ] [1 1 ],14,12.010.905,1,19,[2 2 0 0 3 2 2 2 2 3 2 ] [2 2 2 2 1 1 1 1 3 3 3 3 2 ],24,0,0,0,0,0,0,1,1,0,0,1,0,144,1.895.901.486,142,4.619.991.073,5,4,2,2,2,INGENIERIA CIVIL INDUSTRIAL,5.2,A
89,72.996.628,1,7,[3 3 3 3 0 0 3 ] [0 ],8,5.520.540.197,2,9,[2 3 3 3 3 3 ] [1 1 1 1 ],10,112.926.194,2,16,[0 3 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ],16,474.927.634,1,2,[2 2 0 0 2 2 ] [3 0 3 3 3 ],11,411.958.093,1,4,[1 2 2 2 3 ] [3 3 3 3 3 ],10,38.913.656,1,3,[2 2 0 0 2 2 ] [1 1 1 1 ],10,0,1,1,0,0,1,1,1,1,1,1,1,65,3.687.304.527,41,1.268.842.576,9,5,4,3,3,INGENIERIA EN COMPUTACION E INFORMATICA,6.4,A
110,133.978.466,4,22,[3 3 3 1 ] [2 2 1 1 1 ],9,278.989.693,1,10,[2 2 3 3 3 3 3 3 0 0 0 0 ] [],12,406.488.086,1,28,[3 3 3 3 3 3 3 3 0 0 0 0 0 0 0 2 2 2 2 1 1 1 3 1 1 2 ] [],26,24.415.798,1,11,[2 2 2 2 2 2 2 0 0 2 ] [],10,1.539.942,1,9,[1 1 1 2 2 2 2 2 2 2 2 0 0 ] [],13,467.483.127,3,17,[2 2 0 0 2 2 0 0 0 0 ] [],10,0,0,0,1,0,1,1,1,0,1,1,1,80,2.890.897.746,97,1.774.143.651,9,6,4,3,3,INGENIERIA CIVIL INDUSTRIAL,6.7,A
151,38.016.678,1,4,[3 3 3 3 0 0 ] [2 ],7,538.288.397,2,9,[2 3 3 3 3 3 ] [1 1 1 1 ],10,1.032.740.613,1,9,[3 0 0 0 0 0 2 3 1 ] [3 0 0 0 2 2 2 2 ],17,900.551.873,1,8,[2 2 0 0 2 2 2 3 2 2 ] [1 1 3 3 2 0 0 3 ],18,483.573.454,1,5,[1 2 2 2 ] [3 3 3 3 ],8,362.092.106,1,6,[2 2 0 0 2 2 ] [1 1 3 2 1 1 ],12,1,1,0,0,1,0,1,1,0,0,1,1,72,3.697.413.223,41,1.381.356.521,8,5,3,3,3,INGENIERIA EN COMPUTACION E INFORMATICA,6.6,A
172,3.883.495.637,1,1,[3 3 3 ] [2 2 1 1 ],7,905.704.377,2,7,[2 3 3 3 3 3 ] [1 1 1 1 ],10,2.257.595.106,3,6,[3 3 3 3 3 3 3 3 0 0 0 0 0 0 ] [3 0 0 2 0 0 3 3 3 3 ],24,6.080.252,1,5,[2 2 2 2 2 2 2 0 0 0 0 2 2 ] [],13,802.699.607,1,3,[1 1 3 3 3 1 2 2 2 2 2 2 2 ] [1 1 ],15,100.887.499,2,4,[2 2 0 0 2 2 2 3 0 ] [1 1 1 ],12,1,1,0,0,0,0,1,1,0,1,0,1,81,5.971.248.844,26,1.652.244.621,6,4,4,1,0,BACHILLERATO EN CIENCIAS,7,A
176,1.761.639.073,2,8,[3 3 3 1 3 3 0 2 2 ] [2 2 1 1 ],13,440.146.825,6,27,[2 3 3 3 3 ] [1 1 1 1 2 ],10,889.780.907,1,7,[0 3 0 0 0 0 2 3 1 1 0 3 3 3 3 1 1 2 ] [],18,446.819.153,2,5,[2 2 0 0 0 2 2 2 2 2 2 ] [],11,111.092.097,5,12,[1 2 2 2 2 2 2 2 ] [],8,22.383.007,1,10,[2 2 0 0 2 2 0 0 0 0 ] [],10,0,1,0,0,1,1,1,1,0,1,1,1,70,8.834.458.423,69,2.016.702.781,8,5,4,3,3,INGENIERIA EN COMPUTACION E INFORMATICA,3.8,A
202,310.039.418,4,14,[3 3 3 0 3 ] [1 1 2 2 2 3 3 0 ],13,991.405.207,1,4,[2 3 3 3 3 2 2 2 2 3 3 3 3 3 ] [1 1 1 1 ],18,1.782.444.146,1,15,[0 3 0 0 0 0 2 3 1 1 1 1 1 3 3 3 3 3 3 3 0 0 0 0 0 0 ] [3 0 0 0 2 0 2 0 3 3 3 3 ],38,1.765.226.717,1,5,[2 2 2 2 0 0 2 2 2 3 2 2 2 3 ] [3 1 1 1 3 2 0 0 0 ],23,801.765.943,1,2,[1 2 2 1 1 ] [1 1 3 3 3 3 3 ],12,851.183.357,1,9,[2 2 0 0 1 1 2 0 3 0 0 2 2 0 0 ] [1 1 ],17,0,0,0,0,0,0,1,0,0,0,1,0,121,929.241.955,49,2.750.980.789,4,3,2,1,2,INGENIERIA EN COMPUTACION E INFORMATICA,6,A
207,112.067.901,2,15,[3 3 3 3 0 ] [3 2 1 ],8,4.573.003,1,7,[2 3 3 3 3 3 ] [1 1 1 1 ],10,1.021.755.017,2,21,[3 0 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ],16,63.065.834,1,5,[2 2 2 2 2 2 2 ] [3 1 1 ],10,667.363.227,2,6,[1 2 2 2 2 2 ] [3 3 ],8,792.567.276,1,13,[2 2 0 2 2 0 2 2 2 ] [1 1 2 2 2 2 1 1 3 3 3 ],20,0,1,1,1,1,0,1,1,1,1,1,0,72,469.032.317,67,1.636.468.565,6,3,3,2,1,INGENIERIA CIVIL INDUSTRIAL,7,A
216,1.519.250.414,1,12,[0 3 3 0 3 3 0 3 ] [],8,6.887.676,1,4,[2 3 3 3 3 3 3 ] [1 1 1 1 3 ],12,1.840.490.553,2,9,[3 0 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ],16,47.810.339,1,2,[2 2 0 0 2 2 ] [3 3 3 3 ],10,44.330.071,1,3,[1 2 2 ] [3 3 3 3 3 ],8,63.348.238,1,5,[2 2 0 0 ] [1 1 1 1 3 3 ],10,0,0,1,1,1,1,1,1,1,1,1,1,64,5.603.395.047,35,1.401.018.797,7,4,4,1,2,INGENIERIA CIVIL INDUSTRIAL,5.4,A
